force,filtered_force,target_force,motor_speed,position,contact_point,spring,motor_state,screen_state
0.0000,0.0000,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0000,0.0000,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0000,0.0000,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0000,0.0000,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0000,0.0000,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0000,0.0000,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0000,0.0000,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0000,0.0000,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0000,0.0000,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0000,0.0000,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0037,0.0007,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0025,0.0014,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0001,0.0016,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0002,0.0016,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0021,0.0014,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0036,0.0015,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0036,0.0018,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0022,0.0025,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0004,0.0028,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0013,0.0023,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0020,0.0019,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0028,0.0019,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0041,0.0023,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0035,0.0029,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0031,0.0036,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0022,0.0036,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0022,0.0032,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0018,0.0027,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0017,0.0020,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
0.0014,0.0018,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
-0.0011,0.0014,6.9000,0.0000,0.0000,0.0000,0.0000,0,0
